ULTRASONICO,OPTICO-INFRARROJO,DISTANCIA,PARED
3938,242,60,plano
3699,239,56,plano
3438,234,52,plano
3214,231,48,plano
3007,231,44,plano
2846,228,40,plano
2667,227,36,plano
2450,228,32,plano
2268,223,28,plano
2103,223,24,plano
1954,29,20,plano
1728,208,16,plano
1558,217,12,plano
1311,244,8,plano
3984,239,60,concava
3831,238,56,concava
3597,234,52,concava
3357,232,48,concava
3080,232,44,concava
2805,228,40,concava
2591,228,36,concava
2349,224,32,concava
2080,219,28,concava
1875,209,24,concava
1628,203,20,concava
1371,238,16,concava
1145,28,12,concava
939,412,8,concava
719,444,4,concava
3984,239,60,convexa
3831,238,56,convexa
3597,234,52,convexa
3357,232,48,convexa
3080,232,44,convexa
2805,228,40,convexa
2591,228,36,convexa
2349,224,32,convexa
2080,219,28,convexa
1875,209,24,convexa
1628,203,20,convexa
1371,238,16,convexa
1145,28,12,convexa
939,412,8,convexa
719,444,4,convexa
